150 PA5-A-Debug-Answer.txt 6
    112.6853     50.3517     57.0126     46.8701    -58.5139    -22.1466
   -3.85    -0.55   -36.69      -3.85    -0.55   -36.69     0.001
   -8.11   -17.14    -7.05      -8.11   -17.14    -7.05     0.002
   -1.95    15.45     3.98      -1.95    15.45     3.98     0.001
    8.58    22.90    15.85       8.58    22.90    15.85     0.001
  -30.76     5.41   -37.93     -30.76     5.40   -37.93     0.003
   24.63    18.12    13.63      24.63    18.11    13.63     0.004
  -26.45    10.45   -29.74     -26.45    10.45   -29.74     0.002
   27.28    19.78    -9.83      27.28    19.78    -9.83     0.000
   24.17    22.17    -4.95      24.16    22.16    -4.95     0.008
  -28.07   -16.96   -47.13     -28.07   -16.96   -47.13     0.001
  -13.50   -23.90   -44.16     -13.50   -23.90   -44.16     0.001
  -42.94    -7.72   -23.62     -42.94    -7.72   -23.62     0.001
  -16.82    16.91    28.53     -16.82    16.91    28.53     0.004
   31.57   -11.99   -20.90      31.57   -11.98   -20.90     0.003
    7.07    -2.91   -23.28       7.07    -2.91   -23.28     0.000
   28.82     2.86    26.91      28.81     2.86    26.91     0.004
   31.60    -5.82   -27.30      31.59    -5.82   -27.29     0.005
   -8.39     8.27   -21.07      -8.40     8.26   -21.07     0.006
   -4.00   -20.87   -15.11      -4.00   -20.87   -15.11     0.002
   14.16     1.85   -21.04      14.16     1.85   -21.04     0.002
    0.28    -9.05    16.46       0.28    -9.05    16.46     0.001
   14.65    16.88    68.96      14.65    16.88    68.96     0.003
   27.68     6.72    29.69      27.68     6.71    29.69     0.003
  -20.48   -13.57   -48.28     -20.48   -13.57   -48.28     0.000
   -1.28    -7.79    27.60      -1.28    -7.80    27.60     0.010
  -18.94   -32.31   -21.79     -18.94   -32.31   -21.80     0.002
   25.08    -1.73    35.19      25.08    -1.73    35.19     0.001
  -13.20     6.55    12.06     -13.19     6.55    12.06     0.001
   33.22     0.32   -26.54      33.22     0.32   -26.54     0.001
   35.19    12.07    -9.69      35.18    12.07    -9.69     0.003
   -8.67   -18.46    -7.88      -8.67   -18.46    -7.88     0.002
   24.32    -4.92    18.22      24.32    -4.93    18.22     0.006
   -2.09    -7.99    25.75      -2.09    -8.00    25.75     0.004
    8.73    16.93   -14.29       8.73    16.93   -14.29     0.002
   40.22     6.22    -6.94      40.22     6.22    -6.94     0.002
   21.73   -14.01   -20.28      21.73   -14.01   -20.28     0.002
  -21.81    11.04   -31.91     -21.81    11.04   -31.91     0.001
   -3.00   -23.44   -26.14      -3.00   -23.44   -26.14     0.000
   20.54    14.39    51.10      20.53    14.38    51.10     0.006
  -30.69     3.66   -40.03     -30.68     3.66   -40.03     0.001
   32.69    16.35     1.69      32.69    16.34     1.69     0.008
   -6.80    -5.42    17.69      -6.80    -5.42    17.69     0.000
   20.76    15.32   -28.71      20.76    15.32   -28.71     0.002
    4.77    11.96    -8.35       4.77    11.96    -8.35     0.000
  -37.02   -23.29   -22.28     -37.02   -23.29   -22.28     0.001
   11.55    -4.43    19.80      11.55    -4.42    19.80     0.002
  -45.18   -10.88   -31.79     -45.18   -10.88   -31.79     0.000
  -26.18   -12.41    -6.35     -26.18   -12.41    -6.35     0.002
  -27.91   -14.39    -7.28     -27.91   -14.39    -7.28     0.000
  -29.88    -1.80   -44.97     -29.88    -1.80   -44.97     0.000
  -32.52    -0.59   -42.46     -32.52    -0.59   -42.46     0.005
   17.49   -13.23    -5.47      17.49   -13.23    -5.47     0.004
   14.40     6.61   -19.28      14.40     6.61   -19.28     0.002
   19.07    -3.29    59.36      19.08    -3.30    59.36     0.006
    0.35   -10.27   -34.92       0.35   -10.27   -34.92     0.003
   -4.07   -24.33   -31.10      -4.07   -24.33   -31.10     0.001
    6.05    17.36    -8.59       6.05    17.36    -8.59     0.003
   20.40   -11.49    -6.18      20.40   -11.49    -6.18     0.002
  -11.87    -3.57   -46.40     -11.87    -3.57   -46.40     0.001
   -8.71     3.47    64.32      -8.71     3.47    64.32     0.002
  -43.91   -14.83   -28.48     -43.91   -14.83   -28.48     0.001
  -35.19     5.64   -28.81     -35.20     5.65   -28.81     0.002
   37.60     0.15     6.42      37.60     0.15     6.42     0.000
   18.90    12.82   -30.39      18.91    12.82   -30.39     0.002
   -3.30    14.37     4.08      -3.30    14.37     4.08     0.003
   -1.05    16.23    51.81      -1.05    16.23    51.81     0.000
   35.05    -1.85   -22.10      35.05    -1.85   -22.09     0.002
   -3.51   -19.91   -14.06      -3.51   -19.92   -14.06     0.004
