150 PA5-A-Debug-Answer.txt 6
    -25.0934    -67.5665    -19.7536   -139.4001    -90.6210     53.5104
   -1.97     7.43   -22.78      -2.26     7.05   -22.18     0.762
   -6.97     7.94    22.65      -6.13     7.62    22.53     0.908
   18.03     2.22    54.30      18.22     2.15    54.33     0.202
   18.09    -8.53    10.92      18.07    -7.64    10.63     0.943
  -16.08    -9.95     0.23     -16.59   -10.62     0.89     1.066
  -16.16     4.70   -39.04     -16.15     4.87   -39.18     0.225
   34.02    -5.82    -7.54      33.52    -4.56    -7.53     1.355
   22.09    -3.25   -32.70      22.70    -2.13   -30.81     2.279
   16.92     8.76   -26.34      17.41     8.79   -26.06     0.567
  -18.78   -33.92   -36.93     -18.84   -31.56   -35.29     2.873
  -46.47   -13.49   -23.04     -45.69   -13.28   -23.04     0.807
   13.62    22.49   -32.69      14.49    22.92   -31.82     1.302
  -38.73   -28.27   -32.15     -36.53   -26.64   -31.02     2.960
   -6.72    -2.36    59.75      -7.24    -2.34    59.81     0.528
  -22.61   -12.68   -49.17     -21.89   -12.17   -47.00     2.340
   13.59    -8.63    16.80      13.45    -7.61    16.57     1.064
   -1.33    26.99    10.17      -1.93    26.85    11.22     1.219
    9.00    26.62    -0.76       9.55    26.28    -0.51     0.691
  -33.95   -13.41    -6.63     -35.08   -13.41    -4.56     2.358
  -40.77    -8.91   -11.44     -42.66    -8.36   -10.64     2.131
   -2.93   -27.59   -25.15      -3.22   -27.44   -25.06     0.339
  -10.15     4.58   -36.04     -10.32     4.04   -35.70     0.665
    9.65    -8.78    55.80       9.24    -8.22    55.78     0.701
  -13.46     8.66   -34.77     -13.41     8.33   -35.55     0.851
   14.52    -8.95    13.98      14.33    -7.98    13.86     0.992
   -7.99     3.26    22.51      -7.85     3.20    22.49     0.158
   18.73    -2.62    32.95      18.40    -2.30    32.91     0.464
  -11.87   -27.66   -42.19     -12.48   -25.94   -40.63     2.403
  -17.16    -7.53    -0.26     -17.80    -7.76     1.05     1.482
  -20.78   -36.01   -20.47     -20.88   -35.39   -20.52     0.636
   20.24    23.25   -32.40      19.36    22.92   -31.35     1.406
  -10.04   -31.98   -35.01     -10.31   -30.49   -34.18     1.736
   18.24    27.80   -23.62      16.44    29.57   -23.56     2.519
