150 PA5-A-Debug-Answer.txt 6
    -15.1458      4.5196    -16.7155    -31.0923   -101.0761     56.6546
   -3.82    -8.30    45.64      -2.27    -7.23    45.64     1.886
  -13.84    28.05    23.49     -13.39    27.92    23.64     0.497
  -11.27     1.02   -42.49     -11.48     0.40   -41.63     1.081
  -41.65   -17.05   -17.28     -41.30   -16.95   -17.40     0.387
   32.40    11.12    12.98      33.25    11.34    13.45     1.000
  -44.20    -7.99   -21.37     -43.61    -7.98   -21.53     0.607
  -36.53    -2.52   -39.21     -35.26    -3.25   -37.91     1.962
  -37.38   -17.82   -11.77     -37.75   -18.01   -11.56     0.464
   12.44   -16.73   -14.74      12.68   -15.51   -14.22     1.343
   36.45     4.07   -11.98      36.64     4.16   -12.08     0.240
   -9.52   -23.69   -12.99      -8.59   -24.05   -11.09     2.141
   -9.62    15.98    23.52      -9.56    16.03    23.52     0.080
    0.31    25.67     8.17       1.35    24.42     9.09     1.872
  -17.83     0.73   -46.02     -17.59    -0.06   -45.04     1.282
   13.33    21.54    33.09      13.65    22.28    33.24     0.827
  -39.11    -0.11   -33.81     -38.16    -1.08   -33.25     1.471
  -11.58   -13.89    -1.00     -11.65   -14.06    -0.93     0.189
   -3.46    -4.51   -31.25      -3.06    -4.48   -31.33     0.413
   27.84    19.79    11.16      28.15    20.27    11.35     0.609
   37.95     2.51     8.25      38.23     2.38     8.79     0.617
  -30.98     6.52   -33.89     -30.40     5.47   -33.45     1.276
   19.21    18.62    37.21      20.13    19.54    37.57     1.350
  -38.13   -25.54   -23.06     -37.79   -25.27   -23.10     0.435
   -7.69    15.93     9.80      -6.17    15.35    10.62     1.818
   18.05    21.37    26.65      18.48    22.06    26.95     0.871
   35.62    -0.26   -13.21      35.77    -0.28   -13.27     0.163
   38.15    -1.72    -4.72      38.07    -1.69    -4.72     0.086
    3.65    23.67     0.83       4.67    22.92     1.39     1.389
    0.31    16.28    -3.75       0.86    14.91    -3.08     1.619
   -3.15    -7.04   -38.97      -2.69    -6.99   -39.00     0.457
