150 PA5-A-Debug-Answer.txt 6
   -133.4097   -148.9246    -68.7004    -42.7295     48.0594    -60.1169
   10.70    -6.15    47.44      12.34    -8.61    47.81     2.983
  -15.63    12.25   -20.17     -16.06    14.59   -18.77     2.765
   25.12   -11.79   -18.85      25.08   -12.09   -18.96     0.320
  -11.95     5.77    43.96      -8.33     6.27    43.83     3.659
    0.05    -0.33   -25.28       0.00    -0.33   -25.14     0.151
   -9.71    -4.68    20.18      -7.99    -3.21    19.41     2.389
   37.24    17.46    -9.13      38.80    18.51    -8.96     1.887
  -15.77    18.11    36.11     -14.99    17.76    35.61     0.996
  -38.92     7.69   -24.81     -37.86     7.48   -24.53     1.114
   -8.37    14.56     8.74      -7.60    13.60     9.18     1.311
  -12.06    16.98    40.14     -11.67    16.78    39.64     0.667
  -41.72    -9.82   -34.76     -41.16    -9.94   -34.69     0.579
  -10.90    16.79    12.54      -9.38    15.70    14.08     2.424
   33.41    20.18   -19.51      35.01    21.04   -20.14     1.922
  -23.12    10.03   -15.32     -23.30    11.83   -13.49     2.571
  -42.43    -6.14    -8.55     -41.41    -6.21    -8.50     1.024
    7.45   -12.77    21.14       7.41   -12.67    21.11     0.104
   17.15    -7.78    19.22      18.05    -8.93    19.73     1.545
  -10.16    -4.76    37.69      -6.13    -4.20    37.97     4.074
   20.01    -7.02    18.35      20.47    -7.64    18.55     0.797
  -17.20     0.97     3.42     -17.03     0.96     3.35     0.185
   12.68   -18.90     3.57      12.75   -17.60     3.10     1.382
   -0.66   -25.84   -22.72      -0.73   -25.58   -22.62     0.287
   -1.91    -8.03   -33.45      -1.94    -8.05   -33.46     0.033
   17.19    21.48    28.64      17.98    23.16    28.98     1.891
   31.26    -6.51   -21.37      31.46    -7.06   -21.56     0.613
    9.40    26.19    -2.97      10.09    25.90    -2.31     0.997
   12.92    23.40   -11.56      14.20    23.61   -11.20     1.347
  -34.73   -29.78   -31.77     -33.62   -28.23   -31.09     2.029
  -38.21     6.14   -14.06     -38.82     6.72   -13.68     0.928
   20.85   -19.35   -11.99      20.82   -19.51   -12.04     0.167
  -39.44   -18.70    -8.39     -38.85   -18.34    -8.75     0.786
  -34.02     9.53   -33.18     -33.71     9.30   -32.96     0.446
   -8.57    22.76    22.78      -8.50    22.37    22.85     0.398
    5.69   -17.02   -19.44       6.74   -17.52   -20.19     1.382
   -9.84    14.45    49.30      -6.79    12.81    49.39     3.461
   32.92    14.61   -26.79      34.04    15.37   -27.39     1.476
   32.46    -2.26   -23.74      32.29    -2.07   -23.65     0.275
    3.24    -2.45   -24.62       3.20    -2.51   -24.34     0.295
    7.50   -19.27   -13.42       7.62   -19.40   -13.44     0.177
  -29.92   -16.18    -4.69     -30.31   -17.10    -2.83     2.112
   17.61     0.31    37.42      20.96    -0.87    38.62     3.751
   -4.00    18.24    49.03      -3.15    16.53    48.20     2.080
   32.54    15.82    12.85      33.74    16.75    13.72     1.751
   -4.59    19.90    40.72      -4.57    19.66    40.59     0.275
   -7.64   -20.06    -4.52      -7.63   -20.03    -4.52     0.033
   13.56    30.35     5.99      13.01    31.48     5.97     1.255
   25.29    -9.58   -22.37      25.19    -9.72   -22.50     0.212
   35.16    -5.86   -17.26      35.28    -5.96   -17.26     0.155
   25.83    19.87    18.23      27.21    20.58    18.97     1.721
   -7.29   -13.09   -41.24      -7.48   -13.08   -41.11     0.226
  -24.17   -29.17    -8.97     -24.15   -28.82    -9.12     0.386
  -24.38   -12.10    -2.52     -24.42   -11.99    -1.46     1.067
   -4.87    -6.17   -37.44      -5.40    -6.25   -37.09     0.643
   -6.76    10.51    53.48      -6.49    10.49    53.06     0.501
   -5.59   -25.79   -11.86      -5.52   -26.01   -11.69     0.290
  -17.08     6.85   -40.26     -17.16     7.19   -40.55     0.454
   15.73    20.08    37.04      16.53    22.08    37.18     2.153
    0.61    -4.33    53.85       0.54    -4.31    54.39     0.546
   13.23   -19.10     3.70      13.30   -17.61     3.16     1.586
   18.30     6.58    39.47      22.32     6.53    40.29     4.098
  -12.60     5.64    32.74     -11.52     7.65    32.50     2.293
  -16.61    14.27    37.06     -15.39    14.42    36.38     1.404
  -37.99   -28.19   -17.98     -37.26   -27.33   -18.22     1.160
  -13.65     8.37   -39.17     -13.60     8.43   -39.21     0.086
    0.07   -11.55    33.06       0.09   -10.88    33.03     0.675
   14.22    -4.13    38.30      16.38    -6.39    39.14     3.234
  -11.20     2.90    33.53      -8.85     4.56    32.69     2.996
   31.64    22.76    -0.80      33.24    23.87    -0.60     1.952
  -18.28   -12.56   -48.87     -18.44   -12.42   -48.31     0.601
   29.04   -11.00    -1.10      28.84   -10.96    -1.19     0.224
  -21.74   -26.11   -43.41     -21.55   -24.47   -42.01     2.167
    5.56   -16.95   -20.51       6.54   -17.39   -20.65     1.080
   21.64    13.13   -30.77      21.58    13.12   -30.98     0.219
  -13.92    -6.18     9.94     -11.94    -4.75     9.29     2.529
   26.61     7.74   -31.08      26.58     7.99   -32.10     1.046
  -31.62     7.78   -37.81     -31.47     7.58   -37.62     0.308
  -32.79    10.88   -18.93     -33.27    12.02   -18.85     1.239
   22.95   -18.51     0.95      22.97   -18.74     1.14     0.298
