400 PA5-A-Debug-Answer.txt 6
    150.8843    179.1563     61.2916     91.1391    -76.3483   -111.5478
  -20.50   -11.23    -7.22     -20.27   -10.95    -7.72     0.611
  -36.07    -2.58   -17.72     -35.42    -2.73   -18.09     0.765
  -22.45   -15.48   -53.88     -22.05   -15.30   -52.55     1.397
    2.37    -5.42    17.61       2.44    -5.26    17.60     0.175
   -4.86   -19.80   -41.47      -4.55   -20.09   -41.70     0.484
   15.32     0.65   -30.88      15.82    -3.38   -28.68     4.615
  -26.58     9.04   -25.11     -27.92    12.67   -24.43     3.931
   24.05    15.02     2.58      28.06    16.80     3.57     4.503
  -42.05   -22.63   -28.59     -38.89   -19.76   -29.39     4.338
   -3.01    10.72    -3.14      -2.59     9.71    -2.48     1.272
  -17.66     0.95   -49.02     -17.90     1.99   -49.77     1.296
  -30.16   -29.62   -42.87     -29.02   -27.51   -41.10     2.980
   -9.56     7.60    66.42      -6.88     8.56    67.21     2.954
   -2.84     0.12    45.62      -1.74     0.79    45.46     1.295
   -1.28    -0.80    70.71       0.94     3.62    70.94     4.954
   23.23   -11.07   -29.62      23.09   -11.73   -29.68     0.678
  -11.25   -25.19   -22.14     -10.80   -27.08   -21.70     1.994
  -14.50     3.88    -2.42     -13.16     2.44    -2.96     2.038
  -13.94     6.80   -32.70     -12.39    11.46   -33.14     4.929
  -30.64   -30.06   -20.36     -29.10   -28.46   -21.65     2.569
  -31.37     7.47   -36.86     -31.77     8.27   -37.24     0.973
   14.08    18.15    27.52      13.24    21.88    26.36     4.000
   23.67     1.59    17.17      23.78    -3.15    17.57     4.753
   11.19   -15.16   -25.38       9.65   -14.68   -24.66     1.770
   -5.37   -11.75   -42.23      -4.00   -12.01   -43.92     2.189
   -9.02    13.12    64.42      -6.12    10.06    64.70     4.226
  -37.91   -13.81   -16.45     -35.86   -13.05   -18.42     2.946
  -31.84   -11.76   -12.39     -31.50   -11.40   -12.77     0.618
  -27.69     3.46   -19.75     -28.36     4.48   -17.30     2.735
   -8.34     2.68    48.66      -5.53     6.26    48.43     4.551
  -20.57     5.35   -45.55     -20.98     6.23   -46.47     1.335
   -3.44    19.95    39.55      -3.48    19.38    39.32     0.611
    1.57    -7.18   -28.35       2.93    -6.43   -28.99     1.681
   13.97    20.01    43.31      12.85    21.68    43.66     2.036
  -11.04    -4.77     9.35      -9.33    -2.19     8.22     3.289
  -34.37   -26.09   -19.93     -31.36   -24.91   -20.92     3.381
    7.80    -3.23    36.59       6.66    -1.43    35.91     2.236
    3.20    11.11   -15.86       5.30    12.83   -16.34     2.757
   10.45    22.63    65.18      11.11    21.12    65.34     1.660
   15.70    17.70    17.96      16.25    20.70    18.72     3.147
   -8.23     5.29   -11.17      -8.27     6.72   -10.29     1.678
   10.73    20.42    -2.10      11.22    19.89    -2.19     0.734
  -28.73     5.81   -42.37     -29.15     6.42   -42.84     0.875
   31.11     7.01    -0.17      34.83     7.98     2.50     4.680
   -5.60    19.58    40.80      -5.30    18.71    39.91     1.285
   -8.13    -7.69     5.60      -7.36    -5.53     4.43     2.572
    4.03    -1.67   -20.70       5.23     0.27   -22.41     2.856
   -7.03    -6.86    15.98      -5.21    -2.15    14.51     5.258
   31.78    -3.05    -2.11      31.23    -4.80    -1.39     1.966
  -12.31     7.89    34.85      -8.18     7.89    33.64     4.304
  -26.29   -13.34   -53.28     -25.41   -13.32   -51.52     1.972
  -29.83   -33.08   -29.68     -28.49   -30.13   -29.79     3.243
  -44.01    -5.67   -41.43     -44.30    -6.51   -40.00     1.681
  -30.44   -25.75   -17.11     -29.54   -24.66   -18.77     2.183
  -22.08     7.53   -22.33     -23.65     8.94   -18.36     4.492
    7.43   -17.35   -18.52       7.67   -17.86   -18.45     0.577
   -0.43    16.94     4.65      -0.11    14.39     5.73     2.783
  -35.36   -21.24   -17.07     -33.21   -20.20   -18.85     2.980
  -11.34    15.29    42.72      -7.05    18.38    39.05     6.438
   23.33    15.56    -3.25      24.79    18.96    -3.94     3.760
  -40.21   -11.52   -18.80     -37.78   -11.52   -20.43     2.927
   -8.92     6.23    -4.91      -8.42     5.32    -5.21     1.081
   -6.78    -1.77    43.78      -2.35     1.25    43.24     5.383
  -14.58   -27.93   -44.82     -14.95   -27.20   -44.27     0.986
  -11.04     5.65   -24.60      -8.87    10.05   -24.63     4.896
   10.75    22.27    43.73      11.62    20.91    43.55     1.628
  -24.01   -23.08   -13.59     -24.10   -22.77   -14.06     0.566
   -7.52    14.26    10.77      -7.49    14.18    10.84     0.109
  -41.16   -22.88   -39.89     -38.24   -20.30   -37.89     4.376
  -36.70   -19.74   -16.91     -33.81   -19.12   -18.99     3.615
   26.88    -9.44     1.06      25.83    -5.49     0.45     4.129
   23.65    -2.90    14.59      23.76    -3.53    14.72     0.656
   17.47    -6.56    11.84      16.70    -4.64    11.32     2.135
  -25.87     4.48   -45.48     -25.98     5.32   -46.18     1.109
   -2.50   -10.09     0.91      -2.42    -9.21     0.28     1.091
   -8.61    21.95    30.21      -7.87    24.88    31.40     3.242
   21.14    -7.79   -31.87      21.09    -7.78   -32.01     0.151
  -19.57    19.52    34.32     -18.49    19.55    32.55     2.076
   -9.00   -24.48   -43.58      -9.38   -24.14   -43.29     0.589
   -5.38    15.02     9.19      -5.10    14.31     9.69     0.914
    0.30    -5.59    20.40       0.76    -4.59    20.38     1.097
   29.72    -1.04   -21.23      33.99    -1.17   -21.50     4.275
  -10.00     9.87    65.71      -6.88     9.41    66.16     3.186
  -19.60    17.68    37.83     -17.02    18.28    33.43     5.136
   -0.09    12.83    -7.38       1.36     9.66    -4.97     4.243
   20.02    14.98   -22.50      20.06    15.20   -22.63     0.262
   10.06   -17.55   -18.08       9.26   -16.72   -18.02     1.149
   25.23    12.73   -10.23      28.49    15.28   -10.28     4.138
  -20.98     2.79   -17.82     -21.27     3.33   -15.83     2.083
   -9.40    13.87    49.16      -5.08    11.39    48.83     4.995
  -41.11    -0.88   -38.08     -41.56    -0.54   -38.00     0.569
   17.34    -1.04    37.33      17.64    -0.32    37.26     0.777
   -9.56    -2.33    20.17      -7.05     0.96    17.84     4.757
   16.43    18.84     4.38      15.59    22.11     4.47     3.377
   25.64   -10.31    -1.51      25.74    -6.38    -2.43     4.034
   14.64    -9.76    -3.03      16.91   -11.03    -2.08     2.770
   24.27     1.45    16.13      24.36    -3.22    16.52     4.690
   -5.04     3.58    70.65      -4.02     6.15    70.12     2.819
    5.82    15.40   -28.38       7.79    14.71   -24.85     4.098
    4.74    20.00    11.76       4.85    19.20    12.06     0.864
  -17.41     7.95   -28.30     -16.38    12.77   -28.31     4.934
  -37.13     0.26   -43.41     -37.01    -0.05   -43.14     0.434
  -10.05    -7.80     2.58      -9.49    -6.23     1.73     1.863
  -31.80   -16.26   -50.59     -30.68   -16.02   -49.56     1.547
   18.38   -14.62   -15.53      18.56   -14.00   -15.31     0.685
   13.99    19.49    38.66      16.61    21.21    38.59     3.133
    6.80   -12.89    -2.03       6.92   -11.62    -2.88     1.540
   15.07    18.56    18.19      14.36    20.55    18.86     2.223
   15.33    17.88    26.35      14.46    21.87    25.39     4.194
  -27.08   -21.42   -13.05     -26.42   -21.36   -13.97     1.127
  -44.52   -12.51   -27.16     -41.45   -12.67   -28.07     3.206
   31.86    -3.59     0.79      31.76    -4.41     0.84     0.819
    1.71     1.11   -20.05       2.05     2.65   -20.96     1.824
   10.53   -17.52   -18.32       9.51   -16.46   -18.24     1.465
  -16.01    -6.32   -51.78     -16.02    -6.33   -51.74     0.044
   -1.78    -2.66   -27.16      -0.66    -1.03   -27.22     1.975
  -13.82   -23.35   -49.41     -14.19   -22.95   -48.79     0.835
   -1.83    -7.57    19.17       0.75    -4.61    19.12     3.930
   18.36    13.19    34.26      20.49    15.25    34.45     2.964
   -9.22    -1.37    29.31      -5.63     2.82    28.73     5.543
  -37.23    -3.07   -45.41     -37.42    -3.26   -44.19     1.249
