400 PA5-A-Debug-Answer.txt 6
   -111.9752     -4.5868    -60.7509   -143.5450    -59.8335    -60.6204
   27.96    -4.21   -26.95      27.94    -4.29   -27.04     0.124
   17.03     0.72    40.05      17.95     0.18    40.04     1.068
  -27.76   -36.26   -22.36     -27.44   -35.02   -22.42     1.289
  -36.96   -14.70   -45.29     -37.09   -14.79   -45.41     0.200
   -1.89   -14.33   -34.52      -2.30   -14.30   -34.01     0.654
   11.90    27.69    21.88      12.02    28.98    22.13     1.316
  -24.63    -9.81    -5.23     -24.85    -9.61    -3.45     1.799
   13.81   -19.00    -1.56      13.21   -17.59    -2.83     1.993
   16.20   -10.89    10.00      15.66    -9.83     9.50     1.294
    2.37   -12.44    17.66       2.84   -11.39    17.25     1.217
  -40.42   -22.10   -34.24     -39.46   -21.81   -33.95     1.046
   18.38    16.31    37.65      19.92    16.45    38.13     1.620
    8.22    22.48    36.02       8.37    23.27    36.26     0.839
  -28.79    -0.74   -10.46     -28.63     0.68    -8.05     2.800
   11.41    -4.08    56.09      11.46    -4.05    56.54     0.455
   -0.78   -11.10    16.50       0.52   -10.19    15.82     1.733
    2.03    27.13    27.98       2.39    27.72    27.98     0.696
   29.80    -8.42   -23.67      29.02    -6.33   -22.67     2.447
  -10.96    21.08    38.62     -10.54    21.36    38.41     0.546
   17.02     0.40    36.93      17.85    -0.09    37.10     0.972
   37.18     1.02    -9.54      36.43     1.49    -9.40     0.899
   26.62   -14.82    -3.70      26.05   -13.71    -4.37     1.413
   19.67    15.73    33.71      21.18    15.79    34.15     1.572
    6.98    -0.62   -19.77       6.50     0.54   -21.41     2.067
  -17.33   -17.02   -53.19     -16.97   -16.14   -51.30     2.111
  -32.80   -17.50    -6.75     -33.55   -17.86    -5.59     1.426
   -6.96     6.95    12.27      -7.26     7.01    12.29     0.309
  -27.40   -34.54   -15.62     -26.90   -33.56   -15.91     1.136
  -30.64     6.84   -37.07     -31.41     8.76   -38.27     2.395
  -33.54   -20.34   -46.80     -32.96   -20.00   -46.37     0.802
    7.60   -20.13    -2.56       8.19   -18.43    -2.63     1.805
  -30.99   -26.74    -8.97     -31.20   -27.03    -8.74     0.425
   10.65    -7.91    27.56      10.60    -7.78    27.55     0.146
    5.06     1.07    59.03       4.94     1.18    58.26     0.781
    8.89   -20.39    -3.62       9.22   -18.68    -3.46     1.746
   33.44    -1.85   -19.73      32.73    -1.46   -19.60     0.823
    2.93    12.05    58.21       3.07    11.87    57.38     0.863
  -31.33   -29.95   -12.11     -30.91   -29.44   -12.34     0.699
    1.63   -11.86   -25.63       1.42   -11.74   -25.43     0.313
   -6.23    24.35    16.05      -5.83    24.44    16.44     0.565
    0.47   -13.63    11.20       1.02   -11.94    10.54     1.903
   34.84    12.12   -10.28      35.84    13.01   -10.07     1.359
  -16.23   -26.59    -6.17     -16.41   -26.37    -6.47     0.410
    3.87   -17.50     0.87       4.55   -16.12     0.01     1.759
   -4.16   -24.83    -6.57      -4.25   -24.59    -6.81     0.357
   21.20    21.54    23.93      22.39    22.17    24.40     1.428
    8.18    -8.95    32.57       8.04    -8.73    32.54     0.255
   -5.26   -13.78     4.99      -4.45   -12.51     4.08     1.755
    8.44   -19.45     1.95       9.08   -18.44     1.10     1.468
   31.22    -2.49     9.70      30.04    -0.96     8.55     2.247
   15.10    -8.34    17.12      14.56    -7.37    16.97     1.114
   26.30    17.30    17.98      27.16    17.50    18.33     0.960
   12.13    28.16     5.28      11.21    29.27     5.34     1.449
    0.69   -12.82    14.08       1.63   -11.52    14.05     1.606
  -23.12     3.46   -45.05     -23.12     4.56   -46.28     1.653
  -41.22   -20.76   -16.48     -41.84   -21.06   -16.30     0.713
   18.13    14.24    40.69      19.52    14.51    40.93     1.437
   17.09   -20.32    -8.51      16.95   -18.52    -8.37     1.817
   25.46    23.34     9.05      26.92    24.29     9.31     1.759
  -11.99   -26.52   -46.71     -12.79   -24.96   -45.23     2.301
  -22.45   -19.28    -4.74     -22.46   -19.37    -4.25     0.504
   -5.83     4.56    45.39      -4.16     4.60    45.54     1.680
  -16.55   -22.01    -5.37     -16.62   -21.95    -5.51     0.166
   12.94    15.58    54.96      13.21    15.79    56.12     1.216
  -15.87     0.29    -1.51     -16.77     0.69    -0.96     1.125
    5.22   -20.75    -5.08       4.72   -19.40    -5.63     1.545
   14.99    29.60     2.09      14.29    31.10     1.84     1.675
   -1.05   -10.25    50.87      -0.32    -8.99    50.85     1.457
   16.29   -19.39   -10.17      16.36   -18.01    -9.62     1.485
