150 PA5-A-Debug-Answer.txt 6
    -91.3941    140.5259    -57.0054    -84.9256    107.2167    150.7665
  -32.96     5.07   -32.45     -33.97     6.14   -32.81     1.511
   11.60    23.18    -3.81      10.43    23.14    -4.70     1.470
   13.79    -2.81    31.40      13.27    -1.56    31.30     1.361
  -31.88    -0.90   -43.70     -32.47    -0.23   -44.65     1.300
  -21.32     6.91   -36.01     -21.37     7.23   -36.02     0.324
    6.53    24.23    22.11       6.48    26.04    22.30     1.825
   18.32    24.03    57.23      18.39    24.07    57.24     0.087
   18.33    23.88    58.26      18.38    23.92    58.28     0.071
  -16.42     6.26   -37.55     -16.40     6.28   -37.56     0.024
   28.99    -5.74    18.20      28.26    -4.80    18.08     1.194
   16.13     6.66   -18.17      15.12     6.90   -19.48     1.667
   -4.35   -14.22   -37.09      -5.22   -14.36   -36.96     0.889
  -26.19   -14.89   -12.28     -26.24   -14.90   -12.16     0.131
   17.43   -15.55    -1.78      16.73   -13.79    -2.11     1.927
   36.28    -1.91     3.96      35.67    -1.49     3.83     0.751
    6.41    19.61     8.69       4.90    20.70     7.96     1.997
    1.42    16.97    18.89       0.28    17.09    18.91     1.149
    1.34    -8.98    36.01       1.08    -7.78    35.94     1.233
    1.56    20.31    48.38       0.95    20.77    48.48     0.768
  -11.08     4.15   -35.62     -11.02     4.23   -35.65     0.104
   35.38     2.01    -0.42      35.44     2.04    -0.45     0.068
   20.46    -6.74     1.10      20.14    -7.44     0.59     0.928
   18.30   -15.26    -3.47      17.79   -13.73    -3.73     1.637
  -17.18   -31.72   -36.97     -17.32   -31.02   -36.76     0.748
  -20.82   -15.15   -50.60     -20.80   -15.24   -50.77     0.192
   -3.56     1.03    26.48      -4.71     1.23    26.85     1.223
   -1.28    13.08    56.11       0.14    13.31    56.03     1.434
    8.73    -0.43    61.29       8.32    -0.43    60.61     0.797
    2.15    11.23    62.23       2.09    11.24    62.30     0.085
  -30.91   -19.95   -13.12     -30.95   -20.06   -13.55     0.442
  -13.76    -2.06    -0.95     -14.50    -1.50    -0.56     1.004
  -39.29    -1.30   -24.89     -40.66    -0.52   -24.82     1.579
   21.31   -10.02    12.99      21.26    -8.86    12.98     1.166
   28.56    21.27    -0.73      28.45    21.19    -0.74     0.131
   31.82    16.25    -0.93      32.09    16.35    -0.97     0.287
   22.38    18.51   -23.73      23.01    18.76   -24.24     0.853
   18.86   -12.61    -2.96      18.37   -12.54    -2.80     0.525
   14.15    13.52    -9.51      14.06    12.78   -10.92     1.593
   29.01     7.35   -21.71      29.32     7.52   -21.86     0.389
  -39.36    -4.64   -33.70     -41.08    -4.31   -33.86     1.761
  -17.22   -22.23   -47.34     -17.30   -21.98   -46.98     0.443
   10.22    19.87    -2.13       8.95    20.81    -2.84     1.730
  -10.71   -19.92   -47.52     -10.65   -19.86   -47.49     0.084
  -23.03   -26.98   -14.18     -23.07   -26.25   -14.90     1.026
   -5.58    -8.37   -43.16      -6.99    -8.54   -43.33     1.429
   -5.73    -7.20   -42.43      -7.27    -7.02   -42.41     1.543
   24.56    12.74    28.10      24.04    12.86    27.93     0.554
    0.33    -8.11    47.08       0.10    -7.57    47.04     0.586
  -31.97   -29.57   -22.44     -31.87   -29.23   -22.63     0.404
    2.11   -11.75    17.11       1.90   -10.33    16.95     1.445
   18.51    14.53   -19.25      17.91    15.08   -19.28     0.812
   18.72    22.46    16.68      18.68    23.51    16.94     1.085
   -1.84   -11.71    15.13      -2.13   -10.33    14.98     1.419
  -17.74   -23.36   -46.69     -17.88   -23.13   -46.33     0.456
    7.05    -2.22    62.84       6.75    -1.72    61.20     1.734
  -26.03   -15.02   -12.21     -26.04   -15.02   -12.13     0.080
    8.27    25.96     5.73       8.33    27.21     5.94     1.271
  -21.12     1.09   -15.16     -21.27     1.31   -14.93     0.352
    7.40    -9.29    24.82       6.33    -7.88    24.44     1.813
  -11.98   -12.55    -2.11     -11.79   -12.04    -2.33     0.585
   -3.36   -18.93   -29.05      -5.00   -18.44   -28.99     1.717
   32.93     1.74    13.45      32.18     1.48    12.94     0.942
   10.74    20.71    47.65      10.46    22.69    47.11     2.074
    4.00   -14.73   -11.65       3.63   -13.60   -11.41     1.216
   14.85    -2.99    30.25      14.50    -1.38    29.90     1.682
   -6.55   -11.78     7.13      -6.57   -11.86     7.15     0.083
    1.66    20.63    37.17       0.48    20.49    37.23     1.185
   -1.79    11.40    40.86      -2.81    10.60    40.83     1.297
   11.60    -7.68    19.08      10.44    -6.47    18.49     1.776
  -39.79    -7.41   -13.75     -39.21    -7.79   -14.74     1.206
   23.04    -3.48   -13.03      23.00    -2.99   -13.00     0.496
    2.43    15.40    13.48       0.79    16.39    13.11     1.955
   -9.90     4.20   -29.74      -9.79     4.72   -29.87     0.543
   -2.79    -8.68   -32.78      -3.99    -8.55   -32.32     1.288
   16.79     1.99    44.12      16.26     2.62    44.06     0.820
   -5.04   -13.72     1.63      -5.31   -12.58     1.54     1.173
  -10.61     4.26   -35.31     -10.68     4.16   -35.26     0.130
   11.33    -3.25    39.03      10.76    -1.86    38.86     1.516
  -39.77    -4.37   -27.72     -41.63    -4.03   -27.90     1.892
  -35.85   -26.83   -23.50     -36.02   -27.03   -23.39     0.277
    4.10   -12.96     6.08       4.14   -11.73     5.96     1.243
   18.76    23.21   -11.51      18.35    24.62   -11.91     1.524
   22.28    -5.44    -2.74      22.32    -5.69    -2.87     0.290
   -4.73     6.38   -19.60      -4.91     7.98   -19.77     1.614
    1.84    -6.12    62.11       1.71    -4.85    61.32     1.498
    4.42    21.66    14.57       3.14    22.10    14.11     1.425
   13.63    22.78    -6.54      12.08    23.01    -7.41     1.788
  -10.84   -17.65   -13.09     -10.93   -16.20   -13.63     1.546
   14.71    23.73    61.92      14.28    23.79    60.17     1.800
   27.87    14.44    19.07      27.03    14.38    18.67     0.933
  -11.64   -24.02   -14.38     -12.69   -24.28   -15.19     1.348
   -0.36    10.47    54.49       0.59    10.51    54.62     0.963
   33.07    10.46    -3.19      32.91    10.43    -3.17     0.162
   35.90    -2.01     4.61      35.40    -1.68     4.50     0.614
  -15.69     6.42   -36.45     -15.69     6.42   -36.45     0.004
   32.70    13.91     9.97      32.11    13.86     9.72     0.639
    9.08    22.10    34.28       9.16    23.22    34.46     1.132
   -0.70    -9.20    39.09      -0.94    -8.13    39.06     1.097
   -4.33   -14.23   -35.43      -5.01   -14.45   -35.35     0.722
   10.10    20.61    -1.88       8.97    21.11    -2.48     1.375
   25.22    17.66   -19.85      25.70    18.23   -20.61     1.059
   15.88    13.47    -9.32      14.72    12.82   -10.98     2.122
  -40.70   -17.25   -27.24     -42.36   -18.01   -26.95     1.849
  -31.15   -27.83   -40.30     -31.24   -28.04   -40.44     0.276
   24.44     8.23    26.47      23.57     8.53    26.18     0.959
  -35.18   -13.26   -45.10     -36.43   -13.09   -46.24     1.707
   -0.38    -9.22    40.13      -0.77    -8.04    40.03     1.251
   17.68    -3.06   -18.83      18.04    -3.81   -19.57     1.107
    0.67    -9.05    36.40       0.41    -7.90    36.34     1.176
  -17.96     5.23   -42.92     -17.98     5.18   -42.91     0.048
   24.27    14.29   -23.33      24.85    14.61   -23.92     0.888
  -25.62    -6.28   -49.58     -25.54    -6.23   -49.73     0.176
   18.56    25.61    -3.47      18.65    26.26    -3.41     0.656
   19.73    21.41    28.84      19.45    22.32    29.06     0.974
   21.43     7.81    36.41      20.79     8.06    36.27     0.703
   22.53    12.44   -26.53      23.16    13.06   -27.00     1.004
  -22.83     6.47   -22.92     -22.74     6.81   -22.95     0.353
    0.34   -13.47     4.50      -0.01   -12.00     4.44     1.513
   -7.04    -2.50   -44.78      -7.56    -2.91   -44.61     0.682
   -4.51    -9.53   -36.14      -5.77    -9.14   -35.37     1.524
   -4.44     3.36    14.48      -5.51     3.92    14.69     1.224
    8.96    23.74    24.07       9.33    24.93    24.26     1.263
    4.80    13.04    64.95       4.43    12.81    63.88     1.156
  -29.53     6.59   -26.08     -30.00     7.72   -26.15     1.228
   23.35    -8.24     9.43      22.82    -7.69     9.55     0.773
   18.16    21.47    25.11      18.27    22.33    25.22     0.871
  -22.82   -31.64   -34.87     -22.81   -31.66   -34.86     0.019
  -12.08   -15.40   -50.35     -12.19   -15.61   -50.70     0.424
  -18.25   -27.33   -43.58     -18.31   -26.78   -43.25     0.640
    4.10    -9.63    27.87       4.00    -8.06    27.46     1.628
   34.01     7.16    12.36      33.69     6.97    11.73     0.737
   -0.15    16.73    37.79      -1.40    17.11    37.87     1.315
  -21.27   -32.17   -34.32     -21.35   -31.30   -34.41     0.885
  -10.30   -28.10   -38.89     -10.73   -27.54   -38.29     0.932
    7.05     8.16   -13.79       6.96     9.69   -15.23     2.100
   17.55    -4.30    22.55      17.23    -2.78    21.91     1.678
  -40.31   -18.35   -23.42     -41.68   -18.58   -23.42     1.391
   -1.36    13.14    31.90      -1.79    12.91    31.69     0.532
   18.30    -7.32    13.96      18.14    -5.83    13.29     1.638
   -4.47   -22.29   -26.33      -6.22   -21.41   -26.95     2.057
  -19.47     4.47   -43.66     -19.57     4.92   -44.16     0.675
   35.92     0.57    11.72      35.12     0.72    11.47     0.848
   13.76    20.61    43.17      13.79    21.88    42.99     1.287
  -35.31   -21.45   -14.83     -35.27   -21.40   -14.91     0.100
    8.62    -3.44    46.24       8.01    -2.53    46.21     1.101
