400 PA5-A-Debug-Answer.txt 6
     82.1231    100.8500   -111.9462   -126.8416     36.6375    102.2642
   10.65    18.31   -11.06      11.90    18.10   -10.06     1.611
   -2.36    18.29    41.64      -2.27    18.21    41.60     0.133
    3.39    20.10    50.67       3.53    19.62    50.57     0.511
    6.19     1.15   -25.43       5.12     0.49   -24.16     1.786
  -35.07     4.80   -32.22     -33.88     3.63   -31.82     1.716
  -29.18   -10.86    -9.79     -28.77   -10.08    -8.37     1.668
   -5.00   -10.50     0.49      -5.11   -11.04     0.58     0.554
  -31.49     1.82   -14.73     -31.50     1.84   -14.72     0.023
   -2.69   -17.54   -35.71      -1.51   -18.13   -36.04     1.355
  -22.94   -11.92   -49.63     -22.70   -11.62   -49.06     0.690
   -6.29    -9.63   -36.99      -5.77    -9.60   -37.16     0.549
   -1.32    -6.33    36.53      -1.39    -6.71    36.61     0.392
    4.13   -12.60     0.60       3.71   -13.35     0.87     0.899
  -28.79   -19.48    -9.89     -29.07   -20.15    -7.99     2.037
   21.29    23.25   -29.79      20.29    22.51   -29.25     1.361
   -8.72   -28.85   -34.45      -7.99   -29.81   -34.59     1.209
  -22.40     9.57   -24.44     -22.39     9.33   -24.48     0.251
   22.89    12.54    20.78      24.22    12.22    21.24     1.447
  -18.33     4.90   -43.14     -18.56     4.04   -42.18     1.302
   22.85    26.25   -17.10      22.95    25.27   -17.01     0.990
   -7.17   -27.31   -26.08      -5.97   -28.81   -25.93     1.930
  -22.59   -14.14    -9.01     -23.07   -13.93    -7.09     1.996
  -34.01     1.77   -16.62     -33.76     1.46   -16.80     0.442
  -20.67    -6.61    -7.50     -20.67    -6.61    -7.50     0.007
   25.35     1.88   -35.20      25.44     1.93   -35.03     0.201
  -20.43   -16.76    -8.88     -20.76   -16.70    -6.64     2.266
  -44.76    -8.25   -33.60     -42.82    -9.20   -33.13     2.207
   -5.06   -20.61   -22.63      -3.66   -22.12   -21.43     2.377
    9.22    -8.76   -26.43       9.46    -8.62   -25.81     0.682
  -10.26   -17.03   -48.81     -10.34   -16.89   -48.21     0.617
   -4.17    -8.20    13.94      -4.39    -8.56    13.99     0.430
   18.41   -13.05    -7.62      18.30   -13.70    -6.47     1.331
   32.39    12.34   -20.94      32.37    12.41   -20.89     0.091
    7.27     1.11   -25.23       7.07     0.06   -23.62     1.931
  -34.72   -15.83   -10.06     -35.35   -15.69    -9.11     1.146
   16.54    13.17    61.09      17.77    12.83    61.15     1.282
  -25.81   -21.77   -47.43     -25.65   -21.39   -46.30     1.197
   -3.30    20.69    30.94      -2.08    19.73    31.04     1.560
   29.19     6.20     8.19      30.32     5.92     9.43     1.700
    9.45    18.02    69.00       9.77    17.29    70.52     1.714
  -25.57   -27.15   -13.43     -25.31   -28.88   -12.73     1.877
    7.58     2.77    65.34       7.39     3.14    66.37     1.117
   10.96    -9.47     1.72      12.25   -11.09     2.84     2.354
   -2.23    -8.32    16.97      -2.33    -8.70    17.06     0.410
   13.08    20.69   -13.15      14.11    20.76   -12.39     1.274
    7.46   -14.94    -6.29       7.24   -15.90    -6.20     0.987
   -0.45     1.83    68.83      -0.77     1.92    68.86     0.327
  -13.14     7.07   -38.65     -13.56     7.07   -38.20     0.613
  -27.32     8.89   -29.60     -27.12     8.10   -29.46     0.820
   -4.73   -11.33   -38.78      -4.62   -11.21   -38.78     0.167
    8.06    20.41    46.95       8.04    19.97    46.97     0.437
   36.54     2.41    -9.95      36.90     2.42   -10.12     0.398
   27.98     1.41     8.54      28.90     1.28     9.63     1.431
  -28.91   -21.12    -9.46     -29.34   -20.99    -8.13     1.402
    8.61    20.84    31.44       8.67    21.05    31.48     0.221
  -43.48    -4.72   -32.02     -41.47    -5.59   -31.43     2.272
