400 PA5-A-Debug-Answer.txt 6
      9.8945   -128.5720    -51.4565   -144.2153     15.1800   -126.5073
  -42.82   -19.41   -36.19     -41.03   -18.21   -35.71     2.207
   32.85    -4.37   -31.94      33.63    -4.27   -30.95     1.270
  -18.99     9.74   -13.26     -19.24    11.07   -12.48     1.557
    5.29    20.59    27.18       5.26    20.88    27.31     0.316
  -37.65    -3.32   -44.64     -37.08    -3.56   -43.69     1.138
  -23.95   -27.60    -4.72     -24.02   -27.87    -4.54     0.331
  -39.33    -3.64   -43.68     -38.77    -3.87   -42.75     1.112
   -6.71     7.60   -27.47      -5.96     8.24   -27.99     1.115
   22.10    -8.06   -29.43      23.62    -6.83   -27.23     2.945
  -15.53   -17.18    -2.40     -15.43   -16.99    -1.06     1.358
  -38.56     3.71   -38.06     -38.01     3.40   -37.77     0.694
  -10.26   -31.16   -30.27     -10.29   -31.10   -30.27     0.067
   16.05    25.79   -36.19      18.32    25.42   -33.97     3.196
    0.73   -10.03    25.13       0.78    -8.94    25.09     1.097
   -3.80   -25.75   -28.25      -4.13   -25.07   -27.95     0.813
  -16.12    17.68    12.23     -14.75    17.67    14.31     2.498
   30.47    24.94    -5.83      31.81    26.24    -5.76     1.875
   18.16     3.27   -29.77      18.42     4.29   -26.99     2.966
  -16.44   -30.87   -36.68     -16.94   -29.74   -36.09     1.368
    2.48   -21.15    -7.75       3.45   -22.44    -7.34     1.669
   -8.05     8.02    -6.21      -7.88     7.67    -6.33     0.410
   40.66     4.73   -20.49      41.63     4.30   -20.68     1.076
  -15.80    17.27   -25.06     -15.40    18.96   -25.53     1.803
   39.00    10.66    -2.58      40.70    10.88    -2.17     1.768
    2.47    21.45     4.80       4.23    20.25     5.62     2.287
  -42.71    -7.85   -41.20     -41.47    -7.79   -40.33     1.513
    0.69     4.06    60.43       0.94     3.98    61.03     0.661
  -10.64     6.55   -36.08      -9.12     6.69   -37.03     1.794
  -43.87   -18.77   -19.11     -42.20   -18.43   -18.69     1.757
   11.62     8.35    59.68      13.71     9.51    60.36     2.487
   -6.85    -0.78    59.58      -8.77    -1.17    59.55     1.956
  -13.29   -28.51   -38.64     -13.57   -27.58   -38.18     1.074
  -34.24    10.51   -17.58     -34.35    10.78   -17.57     0.293
    8.78    20.59    50.81       9.28    20.07    50.84     0.728
   25.47   -15.24    -6.48      26.70   -14.55    -4.69     2.281
   -2.85   -24.62    -5.15      -2.77   -25.54    -4.93     0.947
  -33.66   -34.53   -27.05     -32.55   -32.86   -26.88     2.010
   -5.86    -7.46   -34.96      -6.18    -7.40   -34.64     0.452
    9.79   -12.83   -23.97       8.42   -12.83   -23.04     1.653
   -9.89    14.43    10.67      -9.16    14.96    13.10     2.590
  -10.78     0.95    54.03      -9.67     0.97    54.27     1.130
  -42.90     5.37   -24.88     -42.19     5.04   -24.67     0.806
  -38.38   -30.53   -25.49     -36.79   -29.19   -25.10     2.118
   34.81     2.70   -29.73      34.82     2.69   -29.75     0.016
  -18.05   -34.60   -19.01     -18.13   -34.11   -19.04     0.499
    0.89    -9.19    42.16       1.20    -7.87    42.07     1.355
  -43.92    -6.42    -8.09     -43.34    -6.41    -8.30     0.616
   20.24    16.69    26.76      21.61    16.84    27.36     1.506
   -2.80    16.36    38.97      -2.87    16.99    39.35     0.740
    8.56    -7.68   -25.07       8.33    -7.59   -24.13     0.966
   20.53    18.86   -36.48      21.39    20.58   -34.90     2.490
    8.59    24.41    16.83       8.81    24.02    16.74     0.461
  -25.15    12.40   -34.48     -25.18    12.52   -34.56     0.141
   17.86     4.13    34.34      18.84     3.90    34.50     1.017
   15.92   -16.24   -19.45      16.67   -14.77   -18.05     2.159
   -1.30   -25.57    -7.50      -1.20   -25.82    -7.41     0.287
  -15.35   -34.11   -29.32     -15.58   -33.15   -29.20     0.992
   37.67     2.99     1.42      38.53     2.44     2.14     1.253
   31.96    -8.65   -13.37      32.13    -8.65   -13.31     0.182
  -20.17   -35.64   -24.20     -20.28   -34.82   -24.24     0.823
   -5.38    22.74    28.83      -5.36    23.64    28.95     0.911
   21.66   -20.53    -4.54      21.63   -20.17    -4.56     0.354
   16.20   -16.60   -19.53      17.04   -14.92   -18.10     2.362
    4.78   -22.05   -22.93       5.43   -22.30   -23.05     0.704
   31.01    -8.10   -11.87      31.59    -8.33   -11.79     0.632
   13.53   -14.51     6.30      13.90   -14.96     6.41     0.594
   15.63    27.67     9.80      14.74    29.11    10.31     1.775
   -4.94     2.75   -30.48      -4.13     3.41   -31.05     1.191
   17.91   -20.82   -15.33      19.08   -18.63   -14.28     2.696
   38.47     0.06    -3.32      38.75    -0.15    -3.23     0.366
   30.39     8.08    10.51      31.11     7.34    11.49     1.427
  -10.44    14.34    10.89      -9.46    15.04    13.17     2.578
   21.06    28.63     5.53      21.63    30.62     6.09     2.150
  -38.75   -25.24   -36.51     -37.14   -23.82   -35.35     2.437
  -12.67    -4.74     4.37     -12.15    -4.03     3.65     1.141
    0.89    -4.32    60.07       0.83    -4.14    63.48     3.410
  -18.83   -34.95   -25.64     -19.00   -34.49   -25.62     0.490
  -43.82    -7.47   -36.94     -42.76    -7.81   -36.87     1.108
    7.01   -18.52    -2.98       6.88   -17.98    -3.28     0.640
   24.69   -10.49    -4.16      26.09   -10.37    -3.35     1.623
    5.38    13.35    -5.71       5.71    12.56    -5.64     0.860
   -4.66    -5.41    22.42      -2.91    -4.30    22.77     2.095
    7.46    -8.41    41.82       7.41    -8.24    41.82     0.184
   -9.20     5.91    58.16      -9.67     6.11    58.14     0.515
   10.09   -20.36    -6.90      10.49   -18.58    -7.11     1.830
   24.79   -17.37    -5.77      26.44   -17.83    -4.15     2.363
   22.23    19.53    20.75      23.63    20.61    21.28     1.850
   13.32   -15.47     4.40      13.42   -15.95     4.64     0.538
   -9.79    11.11    37.53      -8.96    10.88    37.29     0.890
  -41.45   -13.32    -4.65     -40.74   -13.22    -4.92     0.759
   -0.10   -22.35    -7.04       0.71   -22.55    -4.83     2.368
   18.40   -10.78     5.82      19.40   -11.83     6.55     1.628
