150 PA5-A-Debug-Answer.txt 6
     78.1891    139.3798    -59.6255     -4.4215    125.2159    -37.2487
   -4.37     8.58    55.59      -4.36     8.59    55.59     0.021
   19.10   -13.81     2.69      18.48   -12.25     1.60     1.994
   14.80     3.99   -18.14      14.47     4.86   -19.03     1.295
  -20.81    11.14   -35.08     -21.09    13.02   -35.32     1.914
   17.45    19.88   -14.88      16.60    21.56   -15.34     1.933
    7.88    17.75    25.20       7.19    19.19    25.06     1.606
   14.12   -17.84   -11.89      14.45   -16.60   -11.63     1.311
   -4.11    12.68    33.22      -4.80    13.77    32.86     1.344
   -7.91    12.04    37.60      -8.33    13.30    37.53     1.329
    7.98     1.70    69.96       8.04     1.72    70.14     0.195
   23.16    15.46   -24.93      24.54    16.07   -26.84     2.434
   15.96    -8.74   -22.16      15.76    -9.05   -23.57     1.464
   18.93     4.63    54.76      17.69     5.09    54.68     1.325
    0.93    -0.37    61.75       1.59     0.58    61.72     1.163
   24.69    19.82     8.17      25.28    21.08     8.69     1.486
  -28.97   -13.74    -8.58     -28.87   -13.26    -9.38     0.940
   11.11   -11.30    14.14      10.67    -9.33    13.61     2.084
    9.30    15.32    -7.93       9.05    15.17    -8.16     0.366
   21.14    -6.22   -22.56      21.22    -6.50   -23.32     0.816
    0.32     9.33    10.91      -0.61    10.76    10.61     1.740
   32.95    -3.97   -20.77      32.43    -2.85   -20.62     1.250
  -13.04   -29.57   -35.53     -13.79   -28.32   -35.26     1.480
  -17.89    -1.44    -8.65     -17.66    -1.61    -8.80     0.319
  -12.44   -29.03   -23.01     -13.17   -27.30   -23.49     1.935
   28.66    18.13    -4.00      29.98    18.63    -3.85     1.420
  -40.58   -18.44   -27.12     -40.44   -18.41   -27.08     0.154
    8.76    18.46    28.14       8.08    19.85    28.03     1.552
  -39.91   -19.42   -37.66     -39.45   -19.07   -37.64     0.573
   33.87    -3.44    -2.65      33.22    -2.89    -2.54     0.859
    6.76    20.65    51.59       5.95    21.95    51.43     1.540
  -34.07   -27.27   -37.82     -33.43   -25.66   -37.42     1.776
  -29.28   -17.93   -49.62     -29.22   -17.79   -49.39     0.275
  -35.77     4.16   -24.21     -36.49     5.19   -23.51     1.445
  -38.98   -22.24   -31.54     -38.27   -21.70   -31.50     0.892
  -33.05     4.33   -42.70     -33.77     4.74   -43.59     1.213
   25.75    -7.90   -20.13      25.15    -6.30   -19.77     1.755
   35.52    -0.46     1.51      35.44    -0.43     1.51     0.084
   18.82    16.86    59.98      18.63    16.82    59.98     0.198
   -3.35    10.71    18.11      -3.61    11.08    17.97     0.477
   17.54    20.86    26.78      18.20    22.48    26.68     1.758
  -14.03     2.91    44.60     -13.00     3.64    43.83     1.477
   -4.48    13.87    42.88      -4.89    14.33    42.96     0.621
   21.35    15.67    28.99      21.70    15.73    29.02     0.361
   33.98    11.69    -7.21      35.56    12.76    -7.45     1.919
   10.12   -14.61    -2.10      10.85   -12.98    -2.67     1.877
    2.99   -12.99   -28.56       4.27   -12.77   -29.33     1.508
   29.54    -6.91    -8.08      28.45    -5.69    -8.23     1.650
   26.45    15.35    11.68      26.72    15.46    11.85     0.345
    8.66    18.84    35.99       8.04    20.12    35.98     1.420
  -34.33    -0.37   -12.54     -34.67    -0.33   -12.39     0.376
   14.98    24.77    56.28      15.46    25.32    56.30     0.730
   -3.15    10.20    20.38      -3.92    11.30    20.36     1.344
  -39.09   -19.89   -39.99     -38.43   -19.48   -39.65     0.844
   -4.97   -25.08   -20.83      -5.76   -22.75   -21.38     2.527
   30.04    -6.04   -17.94      29.36    -4.67   -17.74     1.543
   26.88     2.74    17.14      25.75     2.97    16.65     1.257
